id,date,open,high,low,close,volume,market_capital
1,2000/1/4,8644.91 ,8803.61 ,8642.50 ,8756.55 ,3903000.00 ,12472527.00 
2,2000/1/5,8690.60 ,8867.68 ,8668.02 ,8849.87 ,4602000.00 ,12601264.00 
3,2000/1/6,8876.59 ,9023.99 ,8863.91 ,8922.03 ,4811000.00 ,12695734.00 
4,2000/1/7,8856.87 ,8940.77 ,8739.43 ,8845.47 ,4481000.00 ,12586640.00 
5,2000/1/10,8918.60 ,9126.02 ,8891.79 ,9102.60 ,4363000.00 ,12952646.00 
6,2000/1/11,9199.10 ,9332.52 ,8890.45 ,8927.03 ,5396000.00 ,12704312.00 
7,2000/1/12,8964.78 ,9144.65 ,8937.31 ,9144.65 ,3937000.00 ,13013958.00 
8,2000/1/13,9168.73 ,9237.85 ,9095.35 ,9107.19 ,4566000.00 ,12960669.00 
9,2000/1/14,9172.17 ,9236.85 ,8967.56 ,9023.24 ,3835000.00 ,12843485.00 
10,2000/1/15,9155.74 ,9210.37 ,9105.02 ,9191.37 ,3284000.00 ,13082809.00 
11,2000/1/17,9256.57 ,9384.52 ,9230.39 ,9315.43 ,4058000.00 ,13259292.00 
12,2000/1/18,9346.98 ,9353.89 ,9210.36 ,9250.19 ,3859000.00 ,13166419.00 
13,2000/1/19,9255.70 ,9335.73 ,9150.86 ,9151.44 ,3629000.00 ,13025943.00 
14,2000/1/20,9175.27 ,9211.34 ,9077.70 ,9136.95 ,3137000.00 ,13005354.00 
15,2000/1/21,9170.41 ,9305.27 ,9170.41 ,9255.94 ,3562000.00 ,13174704.00 
16,2000/1/24,9327.98 ,9425.87 ,9327.98 ,9387.07 ,4198000.00 ,13361430.00 
17,2000/1/25,9411.10 ,9413.21 ,9308.01 ,9372.37 ,3916000.00 ,13340486.00 
18,2000/1/26,9469.74 ,9617.32 ,9469.74 ,9581.96 ,4712000.00 ,13640888.00 
19,2000/1/27,9639.86 ,9733.26 ,9618.30 ,9628.98 ,5061000.00 ,13707770.00 
20,2000/1/28,9600.45 ,9753.72 ,9600.45 ,9696.91 ,5081000.00 ,13804438.00 
21,2000/1/29,9618.78 ,9677.55 ,9585.82 ,9636.38 ,3678000.00 ,13718300.00 
22,2000/1/31,9653.24 ,9749.51 ,9613.80 ,9744.89 ,3256000.00 ,13885372.00 
23,2000/2/1,9829.68 ,9901.80 ,9800.63 ,9856.39 ,4478000.00 ,14108699.00 
24,2000/2/9,10039.67 ,10137.24 ,9932.07 ,10008.88 ,4666000.00 ,14326941.00 
25,2000/2/10,10008.38 ,10098.30 ,9957.66 ,10057.67 ,5272000.00 ,14396643.00 
26,2000/2/11,10125.51 ,10227.33 ,10096.54 ,10128.67 ,5697000.00 ,14498512.00 
